CaseId,WEIGHT1,Q1A,Q1B,Q1C,Q1D,Q1E,Q1F,Q1G,Q1H,Q1I,Q1J,Q1K,Q1L,Q1M,Q1N,Q1O,Q1P,Q1Q,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q2H,Q2I,Q2J,Q2K,Q2L,Q2M,Q2N,Q2O,Q2P,Q2Q,Q2R,Q3A,Q3B,Q3C,Q3D,Q3E,Q3F,Q3G,Q3H,Q3I,Q3J,Q3K,Q3L,Q3M,Q3N,Q3O,Q3P,Q3Q,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q4I,Q4J,Q4K,Q4L,Q4M,Q4N,Q4O,Q4P,Q4Q,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q7J,Q7K,Q7L,Q7M,Q7N,Q7O,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q10,Q11,Q12,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13H,Q13I,Q14A,Q14B,Q14C,Q14D,Q14E,Q14F,Q14G,Q14H,Q14I,Q14J,Q14K,Q14L,Q14M,Q14N,Q14O,Q14P,D3,D4,D5,Q22,Q23,SURV_MODE,Device,gender,age,AGE4,AGE7,racethnicity,educ,EDUC4,marital,employ,income
88,0.291353182,2,2,,2,3,3,5,3,5,5,3,3,5,4,5,4,4,4,4,3,4,3,3,5,4,3,5,3,3,3,3,4,5,3,3,4,4,4,4,3,2,5,3,4,5,3,3,5,4,4,4,4,2,4,4,4,4,4,3,4,4,2,3,3,4,4,3,4,4,4,3,4,4,4,4,4,3,4,3,3,4,3,3,4,4,4,4,3,4,3,5,7,7,4,4,3,4,4,4,3,3,3,4,3,3,4,4,3,4,4,5,4,4,4,4,3,3,3,2,,,6,2,2,Desktop,2,69,4,6,1,10,3,1,1,11
90,0.26543392,5,5,4,4,5,3,5,5,3,5,3,3,5,5,4,4,4,5,5,4,4,5,2,4,4,3,5,4,5,3,4,5,5,3,3,3,4,3,3,5,2,,,,,,,5,5,3,4,4,3,3,2,4,3,5,2,5,3,3,2,4,3,4,2,2,2,4,5,5,5,5,4,5,4,4,5,4,4,5,5,3,4,4,5,2,1,3,0,3,6,5,4,2,4,3,2,3,4,2,3,4,2,4,4,3,5,5,4,2,2,3,5,2,4,3,1,1,,5,2,2,Smartphone,2,23,1,1,5,10,3,5,1,1
91,3.633232032,5,5,4,3,5,3,4,4,3,5,2,2,4,5,4,1,1,4,2,3,4,5,2,4,4,1,5,4,3,4,5,2,3,1,1,5,5,4,3,4,5,4,4,3,5,2,3,5,5,2,1,1,1,2,1,3,2,3,1,3,1,1,1,2,1,1,1,1,1,5,5,5,4,4,4,5,3,4,2,3,4,2,3,3,4,4,4,2,2,2,7,5,8,4,5,3,5,4,2,2,4,2,4,4,4,4,4,4,4,4,5,4,4,5,4,2,3,2,2,,,7,1,2,Desktop,1,18,1,1,1,9,2,5,4,15
92,0.711554802,3,3,4,5,3,4,5,3,4,3,4,4,4,4,4,1,2,2,3,4,4,4,5,4,4,3,2,2,3,5,4,2,2,1,1,1,2,4,3,3,3,4,3,5,3,3,4,5,3,4,2,4,2,5,4,2,3,4,2,1,3,2,3,2,2,3,3,1,5,4,3,4,4,4,4,4,1,2,4,4,4,4,5,5,4,4,2,4,2,4,5,6,7,2,2,3,4,3,2,4,1,2,4,2,1,5,4,2,4,4,4,4,5,3,4,4,2,2,2,,,8,2,2,Desktop,2,50,3,4,1,13,4,5,2,10
94,0.914708698,1,4,3,4,5,2,1,1,3,5,2,4,3,1,5,2,4,4,2,5,2,3,1,4,3,2,3,5,1,3,5,2,,1,4,4,3,5,1,2,3,3,2,4,2,5,1,4,4,4,4,4,4,4,4,4,4,4,4,3,5,2,5,1,1,3,4,1,2,4,4,4,4,4,3,4,4,3,3,2,1,3,4,4,4,4,4,4,4,4,5,10,10,4,4,3,3,4,4,5,5,4,4,3,4,4,4,4,4,4,3,5,3,4,4,4,4,4,2,,,10,3,2,Desktop,2,31,2,2,4,9,2,5,4,7
97,0.187067584,5,5,5,4,4,4,2,4,2,5,1,2,4,4,3,4,4,3,4,3,4,4,4,2,4,3,2,5,5,5,4,2,1,1,1,5,5,3,3,4,3,2,5,3,5,1,3,4,5,3,3,3,4,4,3,3,3,5,5,5,3,3,3,4,5,5,2,1,1,5,5,5,5,5,4,4,4,4,4,4,4,4,5,3,4,4,4,2,2,3,0,5,10,4,4,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,5,5,4,4,4,2,4,4,1,3,,10,1,2,Smartphone,1,37,2,3,4,10,3,6,1,10
98,0.960018247,3,3,5,5,3,4,5,4,4,3,5,4,5,3,5,5,5,4,5,5,5,4,5,4,3,4,4,4,3,3,4,4,4,4,4,5,5,4,4,5,3,4,5,5,5,4,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,4,4,5,2,3,3,3,3,4,4,4,4,3,1,3,3,5,8,4,4,3,5,5,3,3,4,3,3,2,3,4,3,4,4,3,4,3,2,4,4,2,3,3,2,,,5,2,2,Smartphone,1,35,2,3,1,9,2,1,1,13
99,0.32674455,3,3,5,3,3,4,5,3,2,3,5,5,5,5,3,2,1,5,5,5,5,5,5,4,3,2,5,4,4,5,4,2,4,2,2,3,4,4,3,4,1,2,3,2,4,2,1,4,3,2,2,2,1,3,3,3,3,4,5,3,1,3,2,4,4,3,1,1,1,4,4,4,4,4,4,4,4,4,2,3,2,3,4,3,3,3,5,4,3,3,5,5,7,4,4,2,4,4,2,2,2,2,3,4,2,4,4,3,4,4,4,3,3,4,4,2,4,4,3,,2,8,1,2,Smartphone,2,30,2,2,1,11,3,1,1,10
101,0.164342252,3,4,4,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,3,4,3,3,4,4,4,3,4,3,4,3,4,3,3,3,4,3,3,3,3,4,5,4,3,3,4,3,4,4,4,3,3,4,3,2,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,5,9,3,3,2,4,4,4,4,5,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,,2,10,3,2,Smartphone,1,32,2,2,1,11,3,6,1,13
103,1.008070569,4,5,4,3,4,4,3,4,2,4,1,2,4,4,3,4,4,4,4,3,3,4,3,3,4,1,5,4,2,4,4,3,4,3,4,4,4,3,4,4,3,3,4,3,4,3,4,4,4,4,3,4,1,1,1,2,3,3,2,1,3,1,1,1,2,2,2,2,2,4,4,4,4,3,4,4,4,4,2,2,2,3,3,1,5,4,4,2,1,2,8,6,10,4,4,3,5,4,2,2,1,1,3,3,2,4,4,4,4,5,4,4,2,3,4,1,3,3,3,,3,5,1,2,Smartphone,1,47,3,4,2,10,3,6,1,5
