CaseId,WEIGHT1,Q1A,Q1B,Q1C,Q1D,Q1E,Q1F,Q1G,Q1H,Q1I,Q1J,Q1K,Q1L,Q1M,Q1N,Q1O,Q1P,Q1Q,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q2H,Q2I,Q2J,Q2K,Q2L,Q2M,Q2N,Q2O,Q2P,Q2Q,Q2R,Q3A,Q3B,Q3C,Q3D,Q3E,Q3F,Q3G,Q3H,Q3I,Q3J,Q3K,Q3L,Q3M,Q3N,Q3O,Q3P,Q3Q,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q4I,Q4J,Q4K,Q4L,Q4M,Q4N,Q4O,Q4P,Q4Q,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q7J,Q7K,Q7L,Q7M,Q7N,Q7O,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q10,Q11,Q12,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13H,Q13I,Q14A,Q14B,Q14C,Q14D,Q14E,Q14F,Q14G,Q14H,Q14I,Q14J,Q14K,Q14L,Q14M,Q14N,Q14O,Q14P,D3,D4,D5,Q22,Q23,SURV_MODE,Device,gender,age,AGE4,AGE7,racethnicity,educ,EDUC4,marital,employ,income
901,4.704651409,4,4,5,4,3,4,1,1,5,4,1,2,3,4,3,3,5,4,4,3,1,,,5,2,3,4,4,3,3,4,5,4,3,5,4,4,2,4,5,1,3,3,4,5,1,4,4,4,4,4,4,1,1,1,2,,2,,,,,,,,,,,,4,,4,4,4,4,4,4,5,4,2,4,4,,4,2,4,4,2,3,4,5,8,,2,2,2,4,4,4,4,3,4,4,4,3,4,3,3,4,4,4,,4,2,4,2,4,,3,,2,,,1,Phone interview (not online),1,90,4,7,1,9,2,1,5,5
908,0.347636226,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,3,3,3,3,3,4,2,5,6,4,4,2,4,4,4,3,2,3,4,4,4,4,4,3,4,4,4,2,3,4,3,3,3,3,3,,2,4,1,2,Smartphone,1,27,1,2,4,10,3,1,1,10
909,1.695645471,5,5,4,4,4,3,5,4,3,5,3,3,5,3,3,1,2,5,4,4,4,4,2,5,3,3,4,4,3,4,3,3,5,2,2,5,5,5,4,4,4,5,4,3,5,2,3,5,3,3,2,2,2,1,1,3,3,1,3,1,3,3,1,3,1,2,3,1,1,3,4,4,4,4,5,4,4,5,3,3,3,2,4,4,3,4,3,3,2,3,7,7,7,3,5,2,4,3,3,1,2,1,3,3,2,4,3,4,4,4,4,5,4,4,4,3,3,2,2,,,6,1,2,Desktop,2,30,2,2,1,12,4,5,2,10
912,0.254954712,3,5,2,4,5,2,3,5,3,3,1,3,4,5,4,3,5,3,1,3,3,3,3,3,4,3,4,3,3,4,3,3,4,2,2,2,4,4,3,3,3,3,4,4,2,3,3,3,3,3,3,4,2,3,3,3,5,4,4,3,3,4,2,3,4,3,2,4,4,5,5,5,5,5,4,2,4,5,3,3,2,3,4,4,1,3,3,3,3,3,7,8,10,3,5,3,4,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,2,,,5,3,2,Smartphone,2,23,1,1,2,10,3,5,1,2
915,1.002254112,4,3,4,4,4,5,4,3,3,4,2,3,3,4,2,3,2,4,3,4,4,4,5,4,4,2,5,4,3,4,4,3,3,3,3,3,4,3,4,4,4,3,4,3,4,3,3,3,3,3,2,2,3,1,1,4,2,3,4,2,3,3,1,3,3,3,3,2,2,4,4,4,4,3,4,4,2,4,2,4,4,4,4,3,4,4,4,2,5,3,5,5,7,3,4,4,4,4,3,3,3,4,3,4,2,3,3,4,3,4,4,2,3,3,4,3,4,4,2,,,6,2,2,Smartphone,2,55,3,5,2,10,3,3,1,9
921,0.40198761,4,4,5,5,4,4,4,3,3,3,2,4,5,3,4,1,1,3,3,4,3,4,3,5,3,3,3,3,4,5,3,4,1,1,1,4,3,4,4,3,3,5,3,3,4,3,4,4,3,4,1,1,3,3,3,4,4,3,3,3,3,3,4,2,3,3,3,1,1,3,3,4,5,4,4,3,3,2,2,3,3,3,3,4,3,3,4,3,3,3,4,5,6,4,4,2,5,3,3,2,3,2,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,,,,10,1,2,Desktop,1,37,2,3,1,10,3,3,1,16
927,1.160850784,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,10,1,2,Tablet,1,30,2,2,2,10,3,1,1,14
930,0.792205457,4,5,2,3,5,1,3,4,2,5,1,2,4,5,2,1,1,5,5,2,2,5,2,4,4,2,4,2,3,4,5,1,3,1,1,4,4,1,1,5,1,4,5,1,5,1,1,4,5,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,2,4,5,8,8,3,3,2,3,2,3,1,1,1,4,4,3,4,4,4,4,4,5,5,5,4,4,2,4,4,3,,2,4,3,2,Desktop,2,78,4,7,1,9,2,1,7,18
932,2.325065809,3,4,4,4,3,3,2,3,4,3,4,3,3,3,4,2,2,4,2,3,3,2,2,3,2,4,4,4,4,3,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,2,1,1,2,3,2,2,2,2,2,3,2,2,1,2,2,1,1,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,5,5,4,3,3,4,4,3,3,3,3,2,3,2,3,3,3,3,4,4,2,4,3,4,3,3,3,2,,,6,1,2,Smartphone,1,30,2,2,3,12,4,1,1,6
935,0.62074989,5,5,3,3,5,3,5,5,4,4,4,5,5,5,4,4,3,5,5,4,3,5,2,2,3,1,5,2,3,4,4,2,3,1,1,5,5,1,1,5,1,1,5,1,5,1,2,4,5,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,5,5,5,4,4,4,4,3,4,2,3,4,3,4,3,4,5,4,1,1,1,4,7,9,5,4,1,5,5,3,1,1,1,5,5,4,5,5,5,5,5,5,5,5,5,5,4,2,2,2,,,7,1,2,Smartphone,1,58,3,5,4,10,3,2,1,1
936,0.879920995,4,4,3,3,4,2,3,5,3,5,3,3,4,3,2,1,1,5,3,2,3,5,2,2,4,2,4,3,3,3,4,1,4,1,1,4,4,2,2,3,2,4,4,2,5,2,2,4,4,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,1,2,2,6,6,6,3,5,2,3,4,3,2,2,1,4,5,1,5,5,5,4,4,5,4,5,5,5,3,2,2,3,,2,6,1,2,Smartphone,2,66,4,6,1,10,3,1,1,10
941,1.051328278,5,5,4,4,5,3,3,4,3,4,3,4,4,5,3,1,1,3,4,2,3,4,2,4,5,5,,4,4,4,4,4,5,4,3,4,,3,4,,3,3,4,3,3,,3,4,5,4,3,3,3,3,3,3,3,4,1,3,5,3,1,2,3,4,3,2,,4,5,4,4,4,4,3,3,4,2,2,3,3,2,2,4,,4,2,1,1,10,10,6,4,,3,2,1,3,1,1,3,3,3,3,5,3,4,4,3,4,4,4,4,4,2,3,2,3,,1,1,3,2,Desktop,1,33,2,2,1,12,4,1,1,6
944,0.550281599,3,4,4,5,4,4,4,3,4,4,3,4,5,3,4,1,1,3,3,4,3,4,4,4,3,4,3,4,4,4,4,4,3,1,1,3,3,4,4,4,4,4,3,4,3,4,4,4,4,4,1,1,2,2,2,4,4,3,3,2,2,2,1,2,3,2,2,1,1,3,3,3,4,4,4,4,2,4,4,4,4,2,4,4,3,4,4,2,2,2,5,7,8,2,2,2,2,2,4,1,1,1,3,3,3,4,4,4,4,4,4,5,4,4,4,2,2,2,1,2,,8,1,2,Desktop,2,41,2,3,1,13,4,1,7,11
948,0.096987192,4,4,5,4,3,3,4,4,3,4,4,4,4,4,4,2,2,2,2,3,3,4,2,3,3,3,2,4,4,4,4,3,3,2,2,3,3,2,3,3,1,3,3,2,4,5,2,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,4,7,7,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3,4,4,4,3,3,3,2,3,3,2,,,5,2,2,Smartphone,2,34,2,2,1,12,4,1,1,9
949,0.926295857,4,4,4,4,3,4,4,3,4,3,4,3,2,2,4,2,4,4,4,2,3,4,2,4,3,3,4,4,2,3,3,3,4,3,3,5,4,1,1,3,2,4,4,2,4,1,2,3,4,3,2,2,2,1,1,2,2,2,1,1,1,2,1,2,1,1,2,1,2,4,5,4,4,4,4,4,3,4,4,3,2,3,4,4,4,4,5,2,1,1,5,8,8,2,2,3,4,2,1,2,1,1,3,4,2,4,4,4,4,4,4,5,4,4,4,2,4,2,1,3,,8,1,2,Tablet,2,73,4,6,1,12,4,3,5,9
952,0.351606363,4,5,3,4,1,1,2,3,1,5,1,3,4,5,1,3,3,3,5,2,2,2,1,1,5,1,4,1,1,5,5,1,1,1,1,5,5,3,1,1,1,4,1,1,5,1,5,5,5,2,3,3,3,5,1,1,3,2,4,2,2,3,3,1,4,2,3,2,3,2,3,2,1,2,3,3,2,1,4,4,3,3,5,3,2,3,5,2,3,2,8,9,6,4,4,4,5,4,2,2,2,3,3,4,4,4,5,4,5,4,3,5,4,2,4,4,2,1,3,,3,4,2,2,Smartphone,1,21,1,1,1,10,3,5,4,10
953,0.213327304,5,5,3,4,4,2,4,2,2,5,2,2,4,3,2,1,1,5,4,3,3,3,1,2,2,1,5,2,1,2,2,2,3,1,1,3,4,2,3,3,2,2,2,2,4,1,2,4,2,2,1,1,1,4,4,2,2,2,2,1,2,1,2,1,2,2,1,1,1,4,4,4,3,4,4,3,3,5,3,4,4,4,3,4,4,4,5,3,3,2,5,5,8,5,5,3,3,2,3,1,2,2,4,4,4,4,3,3,4,4,4,3,3,4,3,3,3,3,2,,,7,2,2,Smartphone,2,24,1,1,1,10,3,6,7,9
958,1.027607763,2,2,4,4,2,2,5,2,5,2,4,5,3,1,2,1,1,2,2,4,3,4,3,5,2,2,1,5,5,4,2,5,1,1,1,2,2,1,2,3,5,3,2,1,2,1,1,5,3,2,1,1,4,1,1,2,4,2,2,4,3,3,2,3,2,1,1,1,1,2,3,3,4,4,4,4,2,4,3,3,3,3,2,5,2,3,4,4,2,3,3,5,7,3,2,4,4,3,2,1,2,1,3,2,2,3,4,4,4,5,4,2,3,2,3,1,5,4,1,2,,10,1,2,Desktop,1,22,1,1,1,10,3,6,1,9
960,0.500182782,4,4,3,3,4,3,4,5,2,4,2,3,4,4,2,1,1,3,2,3,3,5,3,4,4,1,2,3,1,,,,,,,3,4,1,2,4,2,4,4,1,4,1,2,3,4,2,1,1,2,3,2,2,3,3,2,3,3,1,2,2,2,4,1,1,1,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,3,5,4,3,3,2,2,5,4,4,1,3,1,,,,,3,4,4,4,4,3,4,3,4,2,3,4,1,1,,7,1,2,Desktop,1,70,4,6,1,12,4,1,2,13
964,0.716485369,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,3,3,5,5,5,5,5,2,5,5,5,5,3,5,5,5,5,3,3,1,5,5,5,5,5,2,4,4,4,5,4,5,5,5,2,2,4,4,3,3,3,3,4,4,4,4,1,1,4,4,4,2,4,5,4,1,3,6,3,5,3,3,4,5,4,3,3,3,3,1,5,1,1,3,1,1,1,3,3,1,2,4,1,3,3,2,,,10,1,2,Desktop,2,57,3,5,1,12,4,3,7,1
965,0.048018925,5,5,4,4,4,2,4,4,1,5,1,3,3,5,3,3,1,5,5,4,3,5,4,4,3,1,5,3,4,3,4,2,5,2,1,5,5,4,3,5,3,3,4,1,5,1,1,3,4,3,5,5,2,1,1,2,2,4,4,3,4,1,1,1,3,3,1,5,5,4,5,4,4,4,4,4,4,5,2,2,2,3,2,2,4,4,5,2,1,5,3,6,10,4,4,2,2,2,3,2,2,1,4,4,2,4,4,4,5,4,4,3,5,4,4,1,4,3,1,3,,7,1,2,Smartphone,2,56,3,5,4,10,3,3,2,6
973,0.9839386,5,5,3,3,3,2,4,3,3,4,2,3,4,4,3,1,1,5,2,3,2,5,2,4,3,3,3,3,4,4,4,3,4,1,1,5,4,2,2,4,3,3,4,2,5,2,2,4,4,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,3,5,3,2,3,3,4,3,4,4,3,2,2,2,7,5,7,3,3,3,4,2,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,,3,5,2,2,Smartphone,2,35,2,3,1,13,4,1,1,12
975,0.463054113,4,4,4,3,3,4,2,5,3,5,2,2,4,4,3,2,3,4,4,2,2,4,4,2,4,3,5,5,4,5,5,4,3,3,3,4,4,3,3,5,2,2,4,3,4,3,4,5,5,2,4,3,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,4,4,4,4,4,2,5,4,4,5,4,5,1,2,4,7,8,10,4,4,2,4,4,2,2,2,2,5,5,5,5,5,5,5,5,5,4,5,5,4,2,4,2,1,3,,9,1,1,Phone interview (not online),2,53,3,4,2,12,4,1,1,4
977,0.44350072,4,4,3,3,4,2,3,4,3,4,2,3,3,4,3,4,4,2,2,2,2,4,2,2,3,2,4,3,2,4,4,3,4,4,2,4,4,1,1,4,3,2,4,4,4,2,4,3,4,4,4,4,1,1,1,1,1,1,2,3,2,3,1,3,3,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,6,9,9,2,3,2,2,2,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,,,5,1,1,Phone interview (not online),2,73,4,6,1,11,3,1,5,9
994,0.690805577,5,5,3,3,5,3,1,5,1,5,1,3,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,1,1,5,1,5,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,4,3,4,3,5,1,1,3,1,2,1,5,5,5,5,2,3,5,5,5,3,5,3,5,5,1,3,5,3,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,,,1,2,2,Smartphone,2,26,1,2,6,10,3,1,3,5
995,0.23318976,4,4,4,5,5,2,5,3,3,4,4,4,4,4,4,1,1,2,5,4,4,4,4,5,3,4,5,5,5,4,1,4,1,1,1,4,4,4,5,4,4,5,4,2,4,2,2,2,4,2,1,1,2,5,5,3,2,4,2,2,3,2,3,3,4,4,2,1,1,5,3,4,2,2,2,4,2,5,2,2,2,3,4,2,4,4,5,3,2,,5,4,7,5,5,3,2,3,3,1,2,1,2,2,1,3,4,4,4,4,4,4,4,4,4,1,5,5,1,2,,10,4,2,Smartphone,2,29,1,2,1,12,4,5,1,5
1001,1.033569949,4,5,4,4,5,2,5,4,3,5,3,3,4,4,4,2,3,4,5,4,4,5,4,4,4,3,4,5,4,4,4,4,4,4,4,4,5,3,4,5,3,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,3,3,2,2,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,4,7,7,10,4,4,2,4,4,4,2,4,2,4,4,2,5,4,4,4,4,4,4,4,4,4,4,2,2,1,2,,8,1,2,Smartphone,1,33,2,2,2,12,4,1,4,7
1016,0.881406939,4,4,4,4,4,4,5,4,1,4,2,4,4,4,4,5,5,4,4,4,4,4,4,3,3,4,3,4,4,3,4,4,3,3,3,4,3,3,3,,4,4,3,3,,4,3,4,4,5,5,5,4,4,4,4,4,4,3,5,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,3,4,4,3,4,7,3,7,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,3,4,4,4,4,4,2,,,9,1,2,Desktop,1,20,1,1,4,8,1,5,7,2
1018,0.900545652,5,5,5,5,5,2,4,2,1,5,2,1,5,5,1,1,1,5,5,4,4,5,3,5,4,1,5,4,3,5,5,1,3,1,1,5,5,1,2,5,4,3,2,1,5,1,2,5,5,1,1,1,1,1,1,4,4,2,1,4,2,1,1,1,1,3,1,1,1,5,4,4,4,4,4,4,4,4,2,2,1,1,4,2,5,4,5,1,2,1,3,5,8,5,5,1,5,1,4,1,1,1,2,2,2,5,5,4,4,4,4,4,4,5,4,3,3,2,1,3,,9,2,2,Desktop,1,30,2,2,1,9,2,6,2,10
1019,0.496940898,2,2,5,5,3,4,5,3,2,2,4,3,3,2,3,1,1,4,5,2,3,4,3,4,2,2,3,4,3,2,5,3,1,1,1,5,3,2,4,4,2,3,5,3,4,1,3,3,5,2,1,1,2,2,1,3,3,1,2,3,1,3,3,2,2,1,2,1,1,5,4,5,5,4,4,5,4,3,3,2,2,4,4,3,5,5,3,3,2,3,2,4,8,1,4,2,4,3,2,1,2,3,4,5,4,4,4,4,5,5,5,4,4,5,4,2,4,4,1,1,,8,1,2,Smartphone,1,23,1,1,4,12,4,1,1,6
1020,1.09621773,4,5,4,4,4,2,2,4,2,4,1,2,4,4,3,1,2,1,1,4,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,5,5,5,5,4,2,4,4,4,5,2,3,4,4,4,1,4,2,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,5,5,5,4,4,4,4,4,5,2,4,4,2,4,3,5,4,5,1,1,2,1,8,10,4,4,2,4,2,4,1,2,2,5,5,5,5,4,4,5,5,5,5,4,4,4,4,2,2,2,,,7,1,2,Smartphone,1,60,4,5,1,13,4,1,5,15
1024,1.211045937,4,3,3,2,1,3,4,3,3,3,1,2,4,2,3,1,3,3,2,4,4,1,2,1,2,4,3,3,2,3,3,1,2,3,2,4,3,3,2,3,2,2,3,2,3,2,3,1,2,3,4,3,2,3,3,2,3,3,2,4,3,4,3,2,2,2,2,3,3,3,2,3,3,2,1,4,5,2,3,2,4,3,3,3,3,2,4,2,2,4,6,4,5,3,3,3,3,1,2,1,2,4,3,2,3,3,3,2,2,2,3,2,3,3,3,3,3,3,1,3,,6,3,2,Desktop,1,32,2,2,4,12,4,5,1,10
1029,0.947886208,4,4,4,3,4,3,4,4,4,4,3,3,3,4,3,3,3,4,4,3,3,4,3,3,4,3,4,3,3,3,4,3,2,2,2,4,4,3,3,4,2,2,3,3,4,2,3,3,4,3,3,3,2,4,4,3,3,4,3,3,3,3,4,4,2,4,2,2,2,4,4,4,3,3,4,4,4,4,2,3,2,3,4,3,,4,4,3,2,2,7,7,8,4,4,2,4,2,4,3,2,2,3,3,2,3,3,3,3,3,4,4,3,3,4,2,4,3,3,,2,7,2,2,Smartphone,2,67,4,6,1,9,2,1,5,10
1030,0.940784082,5,5,3,4,5,3,5,4,3,5,2,2,4,5,3,1,1,5,5,2,2,5,3,2,4,1,5,5,3,2,4,2,4,1,1,5,5,1,2,5,1,3,5,2,5,2,2,4,5,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,5,5,5,4,5,4,3,5,2,3,4,3,4,3,4,4,4,1,1,2,5,8,8,4,3,1,3,3,3,1,1,1,4,4,2,4,4,4,4,4,5,5,5,4,4,3,3,3,3,,3,5,2,2,Desktop,1,65,4,6,1,12,4,1,5,12
1034,0.501104419,4,4,3,3,2,3,5,3,2,3,5,4,3,3,3,3,4,3,3,4,3,3,4,4,3,2,3,5,3,3,3,2,4,3,4,5,5,3,3,4,3,2,3,1,4,1,4,4,4,3,3,4,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,4,4,4,4,4,4,4,3,4,2,2,2,2,3,3,1,4,4,1,2,4,7,5,10,4,4,3,3,1,3,3,1,3,3,4,4,4,4,4,4,4,4,3,4,5,4,2,3,3,2,,,10,1,2,Desktop,2,54,3,4,2,12,4,1,1,5
1041,0.335269164,4,2,2,2,3,3,4,4,2,4,1,2,4,4,2,1,1,4,4,3,2,4,2,4,4,3,4,4,4,4,4,3,4,1,1,4,4,2,3,4,1,4,4,2,5,1,2,4,4,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,2,1,3,5,3,5,4,4,3,4,3,2,3,3,3,4,4,2,4,5,4,4,4,4,4,4,4,4,2,3,3,2,,,8,1,2,Smartphone,2,44,2,3,1,10,3,1,2,10
1042,0.169781643,5,5,4,4,5,4,4,4,1,5,2,4,5,5,5,4,4,5,5,5,5,5,5,2,5,5,5,3,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,2,3,2,5,5,5,3,3,5,2,3,2,3,5,2,5,5,4,4,4,4,4,4,5,3,3,4,3,3,3,5,3,4,4,4,2,2,2,7,4,7,2,4,3,4,4,3,2,3,3,3,4,3,5,5,5,5,4,5,4,4,4,3,2,3,3,3,,2,8,1,2,Desktop,1,21,1,1,1,10,3,6,1,4
1043,0.689293094,4,3,3,3,5,4,2,3,4,5,1,3,5,5,3,5,5,3,3,3,2,3,2,2,2,2,2,2,3,2,2,1,3,4,4,4,4,4,4,4,4,1,3,3,5,1,3,4,3,3,4,4,3,3,3,3,3,3,2,3,1,1,2,3,3,4,3,4,4,4,5,5,5,4,4,4,4,4,2,4,4,2,,4,5,5,5,1,2,4,5,5,10,4,5,3,4,4,2,2,2,5,4,4,5,4,4,4,4,3,4,4,4,4,4,2,2,4,2,,,5,3,2,Smartphone,2,38,2,3,4,9,2,1,1,13
1047,0.162614314,5,5,3,4,5,1,5,5,1,5,1,3,5,5,3,1,1,4,4,3,3,5,1,5,5,1,3,5,4,5,5,1,4,1,1,5,5,1,4,5,1,3,5,1,5,1,2,5,5,1,1,1,1,3,1,1,1,5,1,4,5,1,1,1,1,5,1,1,1,5,5,5,5,5,5,5,4,5,3,3,2,2,4,3,5,5,5,1,1,1,5,7,8,5,5,1,3,1,5,1,2,1,4,5,4,5,5,5,5,5,4,5,4,4,4,1,3,2,1,2,,9,1,2,Desktop,2,41,2,3,4,13,4,1,1,9
1048,0.25647496,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,6,2,2,Smartphone,2,33,2,2,1,10,3,1,1,10
1051,3.602106899,1,4,1,1,5,1,4,4,4,4,1,1,1,4,4,1,4,1,4,4,1,4,1,4,4,2,1,1,1,3,4,4,4,3,5,1,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,,1,10,2,2,Smartphone,2,57,3,5,2,9,2,5,6,1
1052,0.217980588,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,2,2,3,3,3,3,2,2,2,2,2,3,3,2,2,3,2,2,3,3,2,2,3,2,2,2,3,3,2,4,3,3,2,3,3,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,3,3,4,4,4,4,2,4,4,3,4,4,2,4,3,4,4,4,3,2,3,2,3,6,4,6,2,4,4,4,4,3,5,3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,2,3,3,2,,,6,2,2,Smartphone,2,22,1,1,1,11,3,1,1,11
1055,2.271360784,5,5,4,4,4,2,4,5,3,5,3,3,4,4,3,2,2,5,4,3,3,5,2,4,5,2,5,3,3,2,2,2,2,1,1,5,5,3,4,4,1,5,4,3,,2,2,2,5,3,2,2,3,5,5,2,2,4,1,3,4,3,5,5,3,4,2,3,2,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,5,4,4,3,2,2,5,4,7,4,5,3,4,3,4,3,2,2,1,2,1,2,2,3,4,4,5,2,3,4,3,2,4,3,1,2,,8,1,2,Desktop,2,40,2,3,4,11,3,3,6,6
1056,2.033396481,4,5,3,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,2,3,4,3,3,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3,4,4,3,4,3,5,4,3,4,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,2,3,4,3,4,3,5,4,4,2,2,3,5,4,4,5,3,2,4,3,2,3,2,2,2,2,2,3,4,3,4,4,4,2,3,3,4,2,2,3,2,,,5,3,2,Smartphone,2,44,2,3,1,7,1,6,2,4
1058,0.635467315,2,3,2,5,3,1,5,5,5,5,5,3,4,5,3,4,3,3,4,3,2,3,2,4,4,5,4,4,3,4,4,3,4,4,4,3,4,3,4,4,2,4,3,4,5,4,3,3,4,,5,5,4,3,5,4,4,4,1,5,3,4,3,5,5,3,3,4,4,4,5,5,4,3,3,5,5,5,3,5,3,5,3,4,2,4,4,4,,4,10,10,10,4,5,3,4,5,3,3,3,4,3,5,3,4,5,4,4,4,4,4,3,5,3,2,5,5,3,,3,7,2,2,Desktop,1,30,2,2,4,12,4,5,1,7
1063,0.519686376,4,4,5,5,4,4,3,4,2,4,3,3,3,5,4,1,1,5,4,3,4,4,2,3,4,2,5,2,2,2,4,3,4,1,1,4,2,3,3,5,1,2,5,3,5,2,3,4,5,4,2,1,1,5,3,4,3,3,1,2,2,1,1,1,1,3,1,1,1,5,5,5,5,4,4,4,3,3,4,3,4,3,4,2,4,4,4,1,2,2,5,7,8,5,4,2,4,1,4,1,2,1,5,5,5,5,5,5,5,5,4,5,4,5,4,5,2,2,3,,2,4,1,2,Tablet,2,56,3,5,1,13,4,1,2,14
1068,0.866590731,4,4,4,4,4,4,5,4,2,4,3,3,4,4,4,1,1,4,4,4,4,4,3,4,4,1,4,3,4,4,4,2,3,1,1,4,4,4,4,4,4,4,4,1,4,1,2,4,4,3,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,3,5,7,7,5,3,2,5,2,3,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,2,,,6,1,2,Desktop,1,74,4,6,1,12,4,1,5,9
